stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3604,3604,Yellowstone Blvd @ Sidney St,YELLOWSTONE BLVD & SIDNEY ST,29.691885,-95.356245,,,,,,0
3605,3605,Yellowstone Blvd @ Foster,YELLOWSTONE BLVD & FOSTER,29.691411,-95.354707,,,,,,0
3606,3606,Yellowstone Blvd @ Cullen Blvd,YELLOWSTONE BLVD & CULLEN BLVD,29.691119,-95.353095,,,,,,0
3607,3607,Yellowstone Blvd @ Paris St,YELLOWSTONE BLVD & PARIS ST,29.690414,-95.350757,,,,,,0
3608,3608,Yellowstone Blvd @ Liverpool St,YELLOWSTONE BLVD & LIVERPOOL ST,29.689963,-95.349266,,,,,,0
3609,3609,Yellowstone Blvd @ Weston St,YELLOWSTONE BLVD & WESTON ST,29.689267,-95.347049,,,,,,0
3610,3610,Yellowstone Blvd @ Milart,YELLOWSTONE BLVD & MILART,29.688351,-95.343815,,,,,,0
3611,3611,Yellowstone Blvd @ Martin Luther Ki,YELLOWSTONE BLVD & MARTIN LUTHER KING BLVD,29.688529,-95.340791,,,,,,0
3613,3613,Westpark Dr @ W Loop S Mb,WESTPARK DR & W LOOP S,29.726395,-95.457092,,,,,,0
3614,3614,Westpark Dr @ Loop Central Dr,WESTPARK DR & LOOP CENTRAL DR,29.726576,-95.454796,,,,,,0
3615,3615,Westpark Dr @ Newcastle Dr,WESTPARK DR & NEWCASTLE DR,29.726797,-95.452157,,,,,,0
3616,3616,Westpark Dr @ Newcastle Dr MB,WESTPARK DR & NEWCASTLE DR,29.727397,-95.444641,,,,,,0
3617,3617,Westpark Dr @ Weslayan St,WESTPARK DR & WESLAYAN ST,29.727622,-95.441573,,,,,,0
3618,3618,Westpark Dr @ Weslayan St Mb,WESTPARK DR & WESLAYAN ST,29.727993,-95.436958,,,,,,0
3619,3619,Westpark Dr @ Edloe St,WESTPARK DR & EDLOE ST,29.728008,-95.43367,,,,,,0
3620,3620,Westpark Dr @ Edloe St,WESTPARK DR & EDLOE ST,29.728039,-95.43314,,,,,,0
3621,3621,Westpark Dr @ Edloe St,WESTPARK DR & EDLOE ST,29.728204,-95.436846,,,,,,0
3622,3622,Westpark Dr @ Weslayan St,WESTPARK DR & WESLAYAN ST,29.727863,-95.441149,,,,,,0
3623,3623,Westpark Dr @ Weslayan St,WESTPARK DR & WESLAYAN ST,29.727689,-95.443269,,,,,,0
3624,3624,Westpark Dr @ Newcastle Dr,WESTPARK DR & NEWCASTLE DR,29.727045,-95.451412,,,,,,0
3625,3625,Westpark Dr @ Loop Central Dr,WESTPARK DR & LOOP CENTRAL DR,29.726785,-95.45463,,,,,,0
3626,3626,Westpark Dr @ Loop Central Dr,WESTPARK DR & LOOP CENTRAL DR,29.726597,-95.456881,,,,,,0
3627,3627,Westpark Dr @ W Loop S,WESTPARK DR & W LOOP S,29.726425,-95.459002,,,,,,0
3628,3628,Bissonnet St @ Wilmington Dr,BISSONNET ST & WILMINGTON DR,29.712508,-95.458164,,,,,,0
3629,3629,Bissonnet St @ Avenue B,BISSONNET ST & AVENUE B,29.713744,-95.455761,,,,,,0
3630,3630,Bissonnet St @ Larch Ln,BISSONNET ST & LARCH LN,29.714869,-95.453539,,,,,,0
3631,3631,Bissonnet St @ Newcastle Dr,BISSONNET ST & NEWCASTLE DR,29.715827,-95.451675,,,,,,0
3632,3632,Bissonnet St @ Mulberry Ln,BISSONNET ST & MULBERRY LN,29.716813,-95.449745,,,,,,0
3633,3633,Bissonnet St @ Community Dr,BISSONNET ST & COMMUNITY DR,29.718127,-95.44716,,,,,,0
3634,3634,Bissonnet St @ Academy St,BISSONNET ST & ACADEMY ST,29.720137,-95.443178,,,,,,0
3635,3635,Bissonnet St @ Weslayan St,BISSONNET ST & WESLAYAN ST,29.720733,-95.442024,,,,,,0
3636,3636,Bissonnet St @ College St,BISSONNET ST & COLLEGE ST,29.722113,-95.439324,,,,,,0
3637,3637,Bissonnet St @ Auden St,BISSONNET ST & AUDEN ST,29.72298,-95.437627,,,,,,0
3639,3639,Bissonnet St @ Westchester St,BISSONNET ST & WESTCHESTER ST,29.725217,-95.430214,,,,,,0
3640,3640,Bissonnet St @ Buffalo Speedway,BISSONNET ST & BUFFALO SPEEDWAY,29.725245,-95.427958,,,,,,0
3641,3641,Bissonnet St @ Belmont St,BISSONNET ST & BELMONT,29.725284,-95.424889,,,,,,0
3642,3642,Bissonnet St @ Wakeforest St,BISSONNET ST & WAKEFOREST ST,29.725336,-95.422226,,,,,,0
3643,3643,Bissonnet St @ Dincans,BISSONNET ST & DINCANS,29.725364,-95.420678,,,,,,0
3644,3644,Bissonnet St @ Kirby Dr,BISSONNET ST & KIRBY DR,29.725387,-95.41878,,,,,,0
3645,3645,Bissonnet St @ Morningside Dr,BISSONNET ST & MORNINGSIDE DR,29.725458,-95.415123,,,,,,0
3646,3646,Bissonnet St @ Greenbriar Dr,BISSONNET ST & GREENBRIAR DR,29.725484,-95.412941,,,,,,0
3647,3647,Bissonnet St @ S Shepherd Dr,BISSONNET ST & S SHEPHERD DR,29.725515,-95.41069,,,,,,0
3648,3648,Bissonnet St @ Wilton,BISSONNET ST & WILTON,29.725551,-95.408844,,,,,,0
3649,3649,Bissonnet St @ Wilton,BISSONNET ST & WILTON,29.725652,-95.408524,,,,,,0
3650,3650,Bissonnet St @ Kent St,BISSONNET ST & KENT ST,29.725592,-95.405293,,,,,,0
3651,3651,Bissonnet St @ Ashby St,BISSONNET ST & ASHBY ST,29.725616,-95.403587,,,,,,0
3652,3652,Bissonnet St @ Ashby St,BISSONNET ST & ASHBY ST,29.725726,-95.403412,,,,,,0
3653,3653,Bissonnet St @ Mandell St,BISSONNET ST & MANDELL ST,29.725662,-95.399749,,,,,,0
3654,3654,Bissonnet St @ Dora St,BISSONNET ST & DORA ST,29.725709,-95.396293,,,,,,0
3655,3655,Bissonnet St @ Shadow Lawn St,BISSONNET ST & SHADOW LAWN ST,29.725816,-95.394803,,,,,,0
3656,3656,Bissonnet St @ Yoakum Blvd,BISSONNET ST & YOAKUM BLVD,29.726088,-95.392921,,,,,,0
3658,3658,Bissonnet St @ Yoakum Blvd,BISSONNET ST & YOAKUM BLVD,29.726208,-95.392657,,,,,,0
3659,3659,Bissonnet St @ Parkway St,BISSONNET ST & PARKWAY ST,29.726167,-95.3945,,,,,,0
3660,3660,Bissonnet St @ Dora St,BISSONNET ST & DORA ST,29.725818,-95.396233,,,,,,0
3662,3662,Bissonnet St @ Mandell St,BISSONNET ST & MANDELL ST,29.725772,-95.399346,,,,,,0
3663,3663,Bissonnet St @ Hazard St,BISSONNET ST & HAZARD ST,29.725575,-95.407074,,,,,,0
3664,3664,Bissonnet St @ Hazard St,BISSONNET ST & HAZARD ST,29.725675,-95.406509,,,,,,0
3665,3665,Bissonnet St @ S Shepherd Dr,BISSONNET ST & S SHEPHERD DR,29.725626,-95.410375,,,,,,0
3666,3666,Bissonnet St @ Dunlavy St,BISSONNET ST & DUNLAVY ST,29.725732,-95.401963,,,,,,0
3667,3667,Bissonnet St @ Greenbriar Dr,BISSONNET ST & GREENBRIAR DR,29.725597,-95.412506,,,,,,0
3668,3668,Bissonnet St @ Morningside Dr,BISSONNET ST & MORNINGSIDE DR,29.72558,-95.41495,,,,,,0
3669,3669,Bissonnet St @ Kirby Dr,BISSONNET ST & KIRBY DR,29.725562,-95.418392,,,,,,0
3670,3670,Bissonnet St @ Dincans St,BISSONNET ST & DINCANS,29.725545,-95.420516,,,,,,0
3671,3671,Bissonnet St @ Wakeforest St,BISSONNET ST & WAKEFOREST ST,29.725529,-95.421951,,,,,,0
3672,3672,Bissonnet St @ Belmont St,BISSONNET ST & BELMONT,29.725483,-95.424685,,,,,,0
3673,3673,Bissonnet St @ Buffalo Speedway,BISSONNET ST & BUFFALO SPEEDWAY,29.725435,-95.42746,,,,,,0
3674,3674,Bissonnet St @ Westchester St,BISSONNET ST & WESTCHESTER ST,29.725393,-95.430008,,,,,,0
3675,3675,Bissonnet St @ Mercer St,BISSONNET ST & MERCER ST,29.725378,-95.432222,,,,,,0
3677,3677,Bissonnet St @ Auden St,BISSONNET ST & AUDEN ST,29.723238,-95.43752,,,,,,0
3678,3678,Bissonnet St @ College St,BISSONNET ST & COLLEGE ST,29.722131,-95.439703,,,,,,0
3679,3679,Bissonnet St @ Weslayan St,BISSONNET ST & WESLAYAN ST,29.720581,-95.442722,,,,,,0
3680,3680,Bissonnet St @ Community Dr,BISSONNET ST & COMMUNITY DR,29.718432,-95.446952,,,,,,0
3681,3681,Bissonnet St @ Mulberry Ln,BISSONNET ST & MULBERRY LN,29.717234,-95.449288,,,,,,0
